source_id,year,study,dataset_version,unique_patients,overlap_audit,split_level,input_dimensionality,model,parameter_count,macs,seeds,cross_validation,external_validation,wt_dice,tc_dice,et_dice,hd95,lesion_wise_metrics,code,license,claimed_contribution,verification_note
unet_2015,2015,U-Net,ISBI_cell_datasets,NR,NR,image_patches,2D,U-Net,NR,NR,NR,NR,no,NA,NA,NA,NR,no,official_author_code,NR,encoder-decoder with skip connections,Not a glioma benchmark row
brats_benchmark_2015,2015,BraTS benchmark,BraTS_2012_2013,NR,challenge_cohorts_documented,patient,3D_multimodal,various,NR,NR,NR,challenge,no,reported_in_source,reported_in_source,reported_in_source,reported_in_source,no,participant_dependent,participant_dependent,standardized multimodal glioma benchmark,Exact per-method values not transcribed
myronenko_2018,2018,3D MRI segmentation with autoencoder regularization,BraTS_2018,NR,NR,patient,3D,SegResNet_style_VAE_regularized,NR,NR,NR,challenge,no,reported_in_source,reported_in_source,reported_in_source,reported_in_source,no,author_implementation_exists,NR,3D encoder-decoder with VAE regularization and challenge-winning result,Accessible author manuscript used
bunet_2020,2020,BU-Net,BraTS_2017_HGG_and_2017_2018_tests,NR,not_reported,patient_claimed_but_full_split_not_reconstructed,2D,BU-Net_RES_WC,NR,NR,not_clearly_reported,no,no,reported_in_source,reported_in_source,reported_in_source,NR,no,not_verified,article_CC_BY_4_0,RES and WC modifications to 2D U-Net,RES and WC attribution verified
nnunet_2021,2021,nnU-Net,23_public_segmentation_datasets,various,task_dependent,patient_or_case,2D_and_3D,nnU-Net,task_configured,task_configured,task_dependent,5-fold_framework,no_external_single_cohort,task_dependent,task_dependent,task_dependent,task_dependent,task_dependent,https://github.com/MIC-DKFZ/nnUNet,Apache_2_0_repository,automatic configuration as strong baseline,Official nnU-Net v2 2.8.1 installed for the frozen comparator
transbts_2022,2022,TransBTS,BraTS_2019_and_2020,NR,edition_overlap_not_audited_in_paper,patient,3D,CNN_Transformer_hybrid,NR,NR,NR,not_verified,no,reported_in_source,reported_in_source,reported_in_source,reported_in_source,no,https://github.com/Wenxuan-1119/TransBTS,repository_license_to_verify,global-local hybrid transformer,Published-version metadata must be finalized before manuscript
swin_unetr_2022,2022,Swin UNETR,BraTS_2021,1251,not_reported,patient,3D,Swin_UNETR,15705646_for_frozen_MONAI_feature24_config,pending_full_patch_profile,5_frozen,5_fold_planned,BraTS_Africa_planned_not_opened,not_run,not_run,not_run,not_run,not_run,https://github.com/Project-MONAI/MONAI,Apache_2_0_MONAI,hierarchical Swin encoder for 3D segmentation,MONAI 1.6.0 MPS 64-cubed forward-backward smoke passed
avesta_2p5d_2023,2023,2D vs 2.5D vs 3D brain auto-segmentation,Multi_institutional_brain_MRI,3430,not_reported,patient,2D_2.5D_3D,U-Net_CapsNet_nnU-Net,NR,NR,not_reported,not_reported,external_hippocampus_supportive,not_applicable,not_applicable,not_applicable,not_applicable,no,not_verified,CC_BY_4_0_article,five consecutive slices predict the center slice,Primary source for the frozen five-slice 2.5D comparator definition
upenn_gbm_2022,2022,UPenn-GBM data descriptor,UPENN_GBM_v2,611_baseline,"173 cases previously used in BraTS/FeTS; content exclusion required",NA,3D_multimodal,NA,NA,NA,NA,NA,candidate_external,NA,NA,NA,NA,NA,NA,CC_BY_4_0,large four-modality GBM cohort,Not independent until overlapping cases are removed
ucsf_pdgm_2022,2022,UCSF-PDGM data descriptor,UCSF_PDGM_v5,495,"portion included in BraTS 2021; BraTS 2020 content audit required",NA,3D_multimodal,NA,NA,NA,NA,NA,candidate_external,NA,NA,NA,NA,NA,NA,CC_BY_4_0,standardized 3T diffuse glioma cohort,501 exams represent 495 unique patients
nnformer_2023,2023,nnFormer,multiple_public_datasets,NR,not_reported,patient,3D,nnFormer,NR,NR,NR,not_verified,no,task_dependent,task_dependent,task_dependent,reported_in_source,no,official_code_to_verify,license_to_verify,interleaved local-global transformer and skip attention,Modern context baseline
metrics_reloaded_2024,2024,Metrics Reloaded,multiple_validation_use_cases,NA,NA,NA,nD,metric_framework,NA,NA,NA,NA,NA,NA,NA,NA,NA,recommends_problem_appropriate_object_and_pixel_metrics,https://metrics-reloaded.dkfz.de/,NR,problem-fingerprint metric selection,Supports complementary overlap boundary and lesion metrics
nnunet_revisited_2024,2024,nnU-Net Revisited,multiple_3D_tasks,NR,audits_common_validation_pitfalls,patient_or_case,3D,CNN_Transformer_Mamba_benchmark,controlled_in_framework,controlled_in_framework,NR,cross_validation,no,task_dependent,task_dependent,task_dependent,task_dependent,task_dependent,official_supplement_to_verify,license_to_verify,rigorous controlled validation over architectural novelty,Directly motivates v2 controls
random_effects_2024,2024,Random effects during training,multiple_medical_segmentation_tasks,NR,NA,patient_or_case,task_dependent,multiple_DL_segmenters,NR,NR,multiple,5-fold_and_holdout,no,reported_as_seed_effects,reported_as_seed_effects,reported_as_seed_effects,NR,NR,NR,NR,quantifies training-seed variability,Supports equal seeds and hierarchical uncertainty
claim_2024,2024,CLAIM 2024,reporting_guideline,NA,NA,patient,NA,NA,NA,NA,NA,NA,recommends_external_or_prospective_evaluation_where_possible,NA,NA,NA,NA,NA,NA,article_policy,updated reporting checklist,Use for final claim ledger if blockers clear
brats_africa_2025,2025,BraTS-Africa data descriptor,BraTS_Africa_v1,"146 total; 95 primary glioma","zero identifier/hash/content/signature matches across 53874 BraTS2020-external pairs",patient,3D_multimodal,NA,NA,NA,NA,NA,selected_external_locked_before_inference,NA,NA,NA,NA,reference_subregion_labels,NA,CC_BY_4_0_processed_data,African domain-shift cohort,146 of 146 complete; fixed label 3-to-4 mapping; external results not opened
fets_2025,2025,FeTS challenge,FeTS_2021_BraTS_2021,1251,"training/validation identical to BraTS 2021 and includes prior BraTS data",patient,3D,federated_nnunet_style,NR,NR,NR,federated_site_evaluation,protected_test_only,reported_in_source,reported_in_source,reported_in_source,reported_in_source,challenge_metrics,challenge_code_available,repository_license_to_verify,fair decentralized benchmarking,Public portion is not an independent external cohort for this study
legacy_v1,2026,Bounded 2D component study,BraTS_2020,369,"BraTS 2019 all 335 overlap; zero patient overlap across 258/37/74 legacy splits",patient,2D,U-Net_vs_U-Net_RES_vs_BU-Net,"1942772;4450452;8384660","2.676G;9.459G;10.344G","3;5;5",no,no,artifact_derived,artifact_derived,artifact_derived,yes,yes,repository,Apache_2_0_selected_for_current_repository,protocol-matched internal component evidence,Not capacity-matched and not external
