claim_id,exact_text,scope,dataset,model_contrast,artifact,table_or_figure,statistical_support,effect_size,limitation,status
Q2C-001,The legacy study is recoverable from an immutable tag.,repository,legacy_v1,not_applicable,legacy/v1/legacy_v1_pointer.yaml,not_applicable,cryptographic_identity,not_applicable,Legacy evidence remains bounded internal evidence.,supported
Q2C-002,All 146 processed BraTS-Africa patients contain four modalities and a readable segmentation label.,data_integrity,BraTS-Africa-TCIA-v1,not_applicable,reports/q1q2_v2/external_gate_c_summary.json,planned_Table_1,complete_count_146_of_146,not_applicable,Only 95 glioma patients enter the primary cohort.,supported
Q2C-003,No development-external patient overlap was detected across 53874 comparisons.,data_identity,BraTS2020_vs_BraTS-Africa,not_applicable,manifests/q1q2_v2/external_overlap_audit.csv,planned_Figure_1,zero_identifier_hash_content_signature_matches,minimum_signature_RMS_0.03083456,Near-match threshold is audit-specific and cannot prove global dataset uniqueness.,supported
Q2C-004,The topology-preserving parameter control is within two percent of U-Net+RES parameters.,capacity_matching,synthetic_model_profile,unet_parameter_matched_res_vs_unet_res,reports/q1q2_v2/model_matching_summary.json,planned_Table_2,deterministic_exhaustive_search,relative_difference_0.018445,Measured training memory remains pending.,supported
Q2C-005,The compute control is within two percent of U-Net+RES MAC per slice.,compute_matching,synthetic_model_profile,unet_compute_matched_res_vs_unet_res,reports/q1q2_v2/model_matching_summary.json,planned_Table_2,deterministic_exhaustive_search,relative_difference_0.011716,Wall-clock equivalence remains pending.,supported
Q2C-006,All twelve main models are assigned the same five training seeds in every fold.,design,BraTS2020_development,all_main_models,reports/q1q2_v2/model_matrix_validation.json,planned_Table_3,configuration_validation,five_common_seeds,Training completion is not established.,supported
Q2C-007,MPS and a Swin UNETR forward-backward operator smoke are available on the Apple M1 Max.,hardware,synthetic_tensor,Swin_UNETR,reports/q1q2_v2/hardware_preflight.json,not_applicable,measured_smoke,64_cubed_forward_backward_pass,Smoke success is not accuracy or convergence evidence.,supported
Q2C-008,The mandatory frozen plan contains 615 reportable training runs before reproduction reruns.,feasibility,development_design,all_main_models,reports/q1q2_v2/compute_budget.json,not_applicable,deterministic_run_count,known_proxy_4032_accelerator_hours,nnU-Net timing is excluded from the proxy.,supported
Q2C-009,RES improves external patient-level mean regional Dice after capacity matching.,external_performance,BraTS-Africa_glioma,unet_res_vs_unet_parameter_matched_res,none,planned_Table_5,none,unknown,External inference has not run.,unsupported
Q2C-010,The v2 study is Q1/Q2-ready.,submission,all,all,none,not_applicable,none,not_applicable,Gates E through H are incomplete.,unsupported
Q2C-011,Original repository code is released under Apache-2.0.,licensing,repository,not_applicable,LICENSE,not_applicable,rights_holder_authorization,not_applicable,Dataset and dependency licenses remain separate.,supported
Q2C-012,The five-slice 2.5D input uses modality-major ordered offsets with replicated boundaries.,implementation,synthetic_tensor,unet_2p5d_k5,tests/unit/test_2p5d_context.py,planned_Table_2,unit_tests,offsets_minus2_to_plus2,Full training has not run.,supported
