claim_id,source_file,legacy_text_or_issue,classification,required_correction,v2_status
LC-001,manuscript/final_manuscript.md,"BCE activation is stated but its foreground-only channel reduction is not explicit",under_specified,"State that both BCE and FTL exclude background in the selected legacy implementation; give activation and reduction equations",corrected_in_v2_loss_metadata_legacy_preserved
LC-002,manuscript/final_manuscript.md,"Prespecified BU-Net ET success, hard, and failure cases",overstated_prespecification,"Cases were selected after evaluation using prespecified deterministic rules",corrected_in_v2_qualitative_protocol
LC-003,manuscript/response_to_reviewer.md,"The paper reports checkpoint size, throughput, and allocated/reserved memory",unsupported_by_manuscript_table,"Remove checkpoint size, throughput, and reserved-memory claims or add artifact-derived columns to the future manuscript",pending_future_response_no_v2_result_letter
LC-004,EXPERIMENT_PROTOCOL.md,"peak VRAM for reportable Apple MPS runs",device_inaccurate_terminology,"Use MPS framework-reported allocated unified memory and driver-allocated memory; reserve VRAM terminology for discrete GPU memory",corrected_in_v2_docs_legacy_preserved
LC-005,src/bratsarticle/experiments/registry.py,"MPS counters serialized as peak_allocated_vram_bytes and peak_reserved_vram_bytes",schema_mismatch,"Introduce backend-neutral memory fields while preserving legacy fields for backward compatibility",resolved_backend_neutral_fields_added
LC-006,EXPERIMENT_PROTOCOL.md,"Gate 7 A100 target remains adjacent to realized MPS execution",hardware_provenance_ambiguity,"Mark A100 design as unrealized and Apple MPS as the legacy realized environment; freeze v2 hardware separately",resolved_superseded_archive_and_v2_protocol
LC-007,manuscript/final_manuscript.md,"matched-protocol comparison may be read as a component-effect comparison",capacity_confounding,"Describe v1 as protocol-matched only; require parameter- and compute-matched U-Net controls for v2 component attribution",controls_resolved_training_blocked
LC-008,manuscript/final_manuscript.md,"three standard U-Net seeds versus five finalist seeds",unequal_replication,"Do not use v1 for equal-seed claims; use identical five-seed lists for every v2 main model and fold",design_resolved_execution_pending
LC-009,manuscript/final_manuscript.md,"legacy internal held-out results",scope_boundary,"Label only as legacy internal evaluation; never call external validation or use for v2 model selection",resolved_v2_scope_guard
LC-010,pyproject.toml,"Proprietary research code; license to be selected before public release",release_blocker,"Select and add a final license compatible with all bundled and linked dependencies before release",resolved_apache_2_0
LC-011,manuscript/final_manuscript.md,"Development GPU-h/run for Apple MPS",device_inaccurate_terminology,"Use accelerator-hours/run or Apple MPS-hours/run; GPU-hours is not the preferred generic label",resolved_backend_neutral_v2_registry
LC-012,manuscript/final_manuscript.md,"2,000-step/0.5-hour bounded comparison",insufficient_convergence_evidence,"Call pilot/bounded evidence only; do not infer architecture failure or superiority without convergence- and compute-matched v2 regimes",blocked_by_full_compute_allocation
LC-013,manuscript/final_manuscript.md,"RES and WC component language",attribution_constraint,"Attribute RES and WC to Rehman et al. everywhere; prohibit proposed/novel-by-us wording",resolved_rehman_attribution
